"Series";"Time";"Value"
"山东";"2024-04-03T20:22:30+08:00";18748
"山东";"2024-04-03T20:22:45+08:00";18771
"山东";"2024-04-03T20:23:00+08:00";18771
"山东";"2024-04-03T20:23:15+08:00";18798
"山东";"2024-04-03T20:23:30+08:00";18798
"山东";"2024-04-03T20:23:45+08:00";18802
"山东";"2024-04-03T20:24:00+08:00";18802
"山东";"2024-04-03T20:24:15+08:00";18827
"山东";"2024-04-03T20:24:30+08:00";18827
"山东";"2024-04-03T20:24:45+08:00";18849
"山东";"2024-04-03T20:25:00+08:00";18849
"山东";"2024-04-03T20:25:15+08:00";18838
"山东";"2024-04-03T20:25:30+08:00";18838
"山东";"2024-04-03T20:25:45+08:00";18837
"山东";"2024-04-03T20:26:00+08:00";18837
"山东";"2024-04-03T20:26:15+08:00";18827
"山东";"2024-04-03T20:26:30+08:00";18827
"山东";"2024-04-03T20:26:45+08:00";18827
"山东";"2024-04-03T20:27:00+08:00";18827
"山西";"2024-04-03T20:21:45+08:00";4409
"山西";"2024-04-03T20:22:00+08:00";4409
"山西";"2024-04-03T20:22:15+08:00";4432
"山西";"2024-04-03T20:22:30+08:00";4432
"山西";"2024-04-03T20:22:45+08:00";4452
"山西";"2024-04-03T20:23:00+08:00";4452
"山西";"2024-04-03T20:23:15+08:00";4457
"山西";"2024-04-03T20:23:30+08:00";4457
"山西";"2024-04-03T20:23:45+08:00";4466
"山西";"2024-04-03T20:24:00+08:00";4466
"山西";"2024-04-03T20:24:15+08:00";4475
"山西";"2024-04-03T20:24:30+08:00";4475
"山西";"2024-04-03T20:24:45+08:00";4477
"山西";"2024-04-03T20:25:00+08:00";4477
"山西";"2024-04-03T20:25:15+08:00";4496
"山西";"2024-04-03T20:25:30+08:00";4496
"山西";"2024-04-03T20:25:45+08:00";4495
"山西";"2024-04-03T20:26:00+08:00";4495
"山西";"2024-04-03T20:26:15+08:00";4508
"山西";"2024-04-03T20:26:30+08:00";4508
"山西";"2024-04-03T20:26:45+08:00";4508
"山西";"2024-04-03T20:27:00+08:00";4508
"广东";"2024-04-03T20:21:45+08:00";37816
"广东";"2024-04-03T20:22:00+08:00";37816
"广东";"2024-04-03T20:22:15+08:00";37851
"广东";"2024-04-03T20:22:30+08:00";37851
"广东";"2024-04-03T20:22:45+08:00";37837
"广东";"2024-04-03T20:23:00+08:00";37837
"广东";"2024-04-03T20:23:15+08:00";37897
"广东";"2024-04-03T20:23:30+08:00";37897
"广东";"2024-04-03T20:23:45+08:00";37908
"广东";"2024-04-03T20:24:00+08:00";37908
"广东";"2024-04-03T20:24:15+08:00";37926
"广东";"2024-04-03T20:24:30+08:00";37926
"广东";"2024-04-03T20:24:45+08:00";37946
"广东";"2024-04-03T20:25:00+08:00";37946
"广东";"2024-04-03T20:25:15+08:00";37929
"广东";"2024-04-03T20:25:30+08:00";37929
"广东";"2024-04-03T20:25:45+08:00";37994
"广东";"2024-04-03T20:26:00+08:00";37994
"广东";"2024-04-03T20:26:15+08:00";38033
"广东";"2024-04-03T20:26:30+08:00";38033
"广东";"2024-04-03T20:26:45+08:00";38033
"广东";"2024-04-03T20:27:00+08:00";38033
"广西";"2024-04-03T20:21:45+08:00";9966
"广西";"2024-04-03T20:22:00+08:00";9966
"广西";"2024-04-03T20:22:15+08:00";9962
"广西";"2024-04-03T20:22:30+08:00";9962
"广西";"2024-04-03T20:22:45+08:00";9973
"广西";"2024-04-03T20:23:00+08:00";9973
"广西";"2024-04-03T20:23:15+08:00";9958
"广西";"2024-04-03T20:23:30+08:00";9958
"广西";"2024-04-03T20:23:45+08:00";9965
"广西";"2024-04-03T20:24:00+08:00";9965
"广西";"2024-04-03T20:24:15+08:00";9947
"广西";"2024-04-03T20:24:30+08:00";9947
"广西";"2024-04-03T20:24:45+08:00";9951
"广西";"2024-04-03T20:25:00+08:00";9951
"广西";"2024-04-03T20:25:15+08:00";9920
"广西";"2024-04-03T20:25:30+08:00";9920
"广西";"2024-04-03T20:25:45+08:00";9921
"广西";"2024-04-03T20:26:00+08:00";9921
"广西";"2024-04-03T20:26:15+08:00";9933
"广西";"2024-04-03T20:26:30+08:00";9933
"广西";"2024-04-03T20:26:45+08:00";9933
"广西";"2024-04-03T20:27:00+08:00";9933
"新疆";"2024-04-03T20:21:45+08:00";1270
"新疆";"2024-04-03T20:22:00+08:00";1270
"新疆";"2024-04-03T20:22:15+08:00";1279
"新疆";"2024-04-03T20:22:30+08:00";1279
"新疆";"2024-04-03T20:22:45+08:00";1295
"新疆";"2024-04-03T20:23:00+08:00";1295
"新疆";"2024-04-03T20:23:15+08:00";1295
"新疆";"2024-04-03T20:23:30+08:00";1295
"新疆";"2024-04-03T20:23:45+08:00";1295
"新疆";"2024-04-03T20:24:00+08:00";1295
"新疆";"2024-04-03T20:24:15+08:00";1307
"新疆";"2024-04-03T20:24:30+08:00";1307
"新疆";"2024-04-03T20:24:45+08:00";1310
"新疆";"2024-04-03T20:25:00+08:00";1310
"新疆";"2024-04-03T20:25:15+08:00";1316
"新疆";"2024-04-03T20:25:30+08:00";1316
"新疆";"2024-04-03T20:25:45+08:00";1322
"新疆";"2024-04-03T20:26:00+08:00";1322
"新疆";"2024-04-03T20:26:15+08:00";1322
"新疆";"2024-04-03T20:26:30+08:00";1322
"新疆";"2024-04-03T20:26:45+08:00";1322
"新疆";"2024-04-03T20:27:00+08:00";1322
"江苏";"2024-04-03T20:21:45+08:00";28628
"江苏";"2024-04-03T20:22:00+08:00";28628
"江苏";"2024-04-03T20:22:15+08:00";28637
"江苏";"2024-04-03T20:22:30+08:00";28637
"江苏";"2024-04-03T20:22:45+08:00";28663
"江苏";"2024-04-03T20:23:00+08:00";28663
"江苏";"2024-04-03T20:23:15+08:00";28666
"江苏";"2024-04-03T20:23:30+08:00";28666
"江苏";"2024-04-03T20:23:45+08:00";28700
"江苏";"2024-04-03T20:24:00+08:00";28700
"江苏";"2024-04-03T20:24:15+08:00";28704
"江苏";"2024-04-03T20:24:30+08:00";28704
"江苏";"2024-04-03T20:24:45+08:00";28689
"江苏";"2024-04-03T20:25:00+08:00";28689
"江苏";"2024-04-03T20:25:15+08:00";28686
"江苏";"2024-04-03T20:25:30+08:00";28686
"江苏";"2024-04-03T20:25:45+08:00";28657
"江苏";"2024-04-03T20:26:00+08:00";28657
"江苏";"2024-04-03T20:26:15+08:00";28639
"江苏";"2024-04-03T20:26:30+08:00";28639
"江苏";"2024-04-03T20:26:45+08:00";28639
"江苏";"2024-04-03T20:27:00+08:00";28639
"江西";"2024-04-03T20:21:45+08:00";11328
"江西";"2024-04-03T20:22:00+08:00";11328
"江西";"2024-04-03T20:22:15+08:00";11334
"江西";"2024-04-03T20:22:30+08:00";11334
"江西";"2024-04-03T20:22:45+08:00";11341
"江西";"2024-04-03T20:23:00+08:00";11341
"江西";"2024-04-03T20:23:15+08:00";11348
"江西";"2024-04-03T20:23:30+08:00";11348
"江西";"2024-04-03T20:23:45+08:00";11369
"江西";"2024-04-03T20:24:00+08:00";11369
"江西";"2024-04-03T20:24:15+08:00";11392
"江西";"2024-04-03T20:24:30+08:00";11392
"江西";"2024-04-03T20:24:45+08:00";11414
"江西";"2024-04-03T20:25:00+08:00";11414
"江西";"2024-04-03T20:25:15+08:00";11426
"江西";"2024-04-03T20:25:30+08:00";11426
"江西";"2024-04-03T20:25:45+08:00";11445
"江西";"2024-04-03T20:26:00+08:00";11445
"江西";"2024-04-03T20:26:15+08:00";11465
"江西";"2024-04-03T20:26:30+08:00";11465
"江西";"2024-04-03T20:26:45+08:00";11465
"江西";"2024-04-03T20:27:00+08:00";11465
"河北";"2024-04-03T20:21:45+08:00";6870
"河北";"2024-04-03T20:22:00+08:00";6870
"河北";"2024-04-03T20:22:15+08:00";6875
"河北";"2024-04-03T20:22:30+08:00";6875
"河北";"2024-04-03T20:22:45+08:00";6887
"河北";"2024-04-03T20:23:00+08:00";6887
"河北";"2024-04-03T20:23:15+08:00";6901
"河北";"2024-04-03T20:23:30+08:00";6901
"河北";"2024-04-03T20:23:45+08:00";6900
"河北";"2024-04-03T20:24:00+08:00";6900
"河北";"2024-04-03T20:24:15+08:00";6914
"河北";"2024-04-03T20:24:30+08:00";6914
"河北";"2024-04-03T20:24:45+08:00";6927
"河北";"2024-04-03T20:25:00+08:00";6927
"河北";"2024-04-03T20:25:15+08:00";6931
"河北";"2024-04-03T20:25:30+08:00";6931
"河北";"2024-04-03T20:25:45+08:00";6933
"河北";"2024-04-03T20:26:00+08:00";6933
"河北";"2024-04-03T20:26:15+08:00";6941
"河北";"2024-04-03T20:26:30+08:00";6941
"河北";"2024-04-03T20:26:45+08:00";6941
"河北";"2024-04-03T20:27:00+08:00";6941
"河南";"2024-04-03T20:21:45+08:00";18823
"河南";"2024-04-03T20:22:00+08:00";18823
"河南";"2024-04-03T20:22:15+08:00";18872
"河南";"2024-04-03T20:22:30+08:00";18872
"河南";"2024-04-03T20:22:45+08:00";18907
"河南";"2024-04-03T20:23:00+08:00";18907
"河南";"2024-04-03T20:23:15+08:00";18924
"河南";"2024-04-03T20:23:30+08:00";18924
"河南";"2024-04-03T20:23:45+08:00";18955
"河南";"2024-04-03T20:24:00+08:00";18955
"河南";"2024-04-03T20:24:15+08:00";18980
"河南";"2024-04-03T20:24:30+08:00";18980
"河南";"2024-04-03T20:24:45+08:00";18982
"河南";"2024-04-03T20:25:00+08:00";18982
"河南";"2024-04-03T20:25:15+08:00";18960
"河南";"2024-04-03T20:25:30+08:00";18960
"河南";"2024-04-03T20:25:45+08:00";18965
"河南";"2024-04-03T20:26:00+08:00";18965
"河南";"2024-04-03T20:26:15+08:00";18942
"河南";"2024-04-03T20:26:30+08:00";18942
"河南";"2024-04-03T20:26:45+08:00";18942
"河南";"2024-04-03T20:27:00+08:00";18942
"浙江";"2024-04-03T20:21:45+08:00";35008
"浙江";"2024-04-03T20:22:00+08:00";35008
"浙江";"2024-04-03T20:22:15+08:00";34996
"浙江";"2024-04-03T20:22:30+08:00";34996
"浙江";"2024-04-03T20:22:45+08:00";34990
"浙江";"2024-04-03T20:23:00+08:00";34990
"浙江";"2024-04-03T20:23:15+08:00";34982
"浙江";"2024-04-03T20:23:30+08:00";34982
"浙江";"2024-04-03T20:23:45+08:00";34977
"浙江";"2024-04-03T20:24:00+08:00";34977
"浙江";"2024-04-03T20:24:15+08:00";34994
"浙江";"2024-04-03T20:24:30+08:00";34994
"浙江";"2024-04-03T20:24:45+08:00";34981
"浙江";"2024-04-03T20:25:00+08:00";34981
"浙江";"2024-04-03T20:25:15+08:00";34985
"浙江";"2024-04-03T20:25:30+08:00";34985
"浙江";"2024-04-03T20:25:45+08:00";34978
"浙江";"2024-04-03T20:26:00+08:00";34978
"浙江";"2024-04-03T20:26:15+08:00";34983
"浙江";"2024-04-03T20:26:30+08:00";34983
"浙江";"2024-04-03T20:26:45+08:00";34983
"浙江";"2024-04-03T20:27:00+08:00";34983
"海南";"2024-04-03T20:21:45+08:00";2372
"海南";"2024-04-03T20:22:00+08:00";2372
"海南";"2024-04-03T20:22:15+08:00";2378
"海南";"2024-04-03T20:22:30+08:00";2378
"海南";"2024-04-03T20:22:45+08:00";2388
"海南";"2024-04-03T20:23:00+08:00";2388
"海南";"2024-04-03T20:23:15+08:00";2388
"海南";"2024-04-03T20:23:30+08:00";2388
"海南";"2024-04-03T20:23:45+08:00";2394
"海南";"2024-04-03T20:24:00+08:00";2394
"海南";"2024-04-03T20:24:15+08:00";2390
"海南";"2024-04-03T20:24:30+08:00";2390
"海南";"2024-04-03T20:24:45+08:00";2384
"海南";"2024-04-03T20:25:00+08:00";2384
"海南";"2024-04-03T20:25:15+08:00";2393
"海南";"2024-04-03T20:25:30+08:00";2393
"海南";"2024-04-03T20:25:45+08:00";2398
"海南";"2024-04-03T20:26:00+08:00";2398
"海南";"2024-04-03T20:26:15+08:00";2397
"海南";"2024-04-03T20:26:30+08:00";2397
"海南";"2024-04-03T20:26:45+08:00";2397
"海南";"2024-04-03T20:27:00+08:00";2397
"湖北";"2024-04-03T20:21:45+08:00";20621
"湖北";"2024-04-03T20:22:00+08:00";20621
"湖北";"2024-04-03T20:22:15+08:00";20649
"湖北";"2024-04-03T20:22:30+08:00";20649
"湖北";"2024-04-03T20:22:45+08:00";20636
"湖北";"2024-04-03T20:23:00+08:00";20636
"湖北";"2024-04-03T20:23:15+08:00";20630
"湖北";"2024-04-03T20:23:30+08:00";20630
"湖北";"2024-04-03T20:23:45+08:00";20637
"湖北";"2024-04-03T20:24:00+08:00";20637
"湖北";"2024-04-03T20:24:15+08:00";20612
"湖北";"2024-04-03T20:24:30+08:00";20612
"湖北";"2024-04-03T20:24:45+08:00";20574
"湖北";"2024-04-03T20:25:00+08:00";20574
"湖北";"2024-04-03T20:25:15+08:00";20580
"湖北";"2024-04-03T20:25:30+08:00";20580
"湖北";"2024-04-03T20:25:45+08:00";20569
"湖北";"2024-04-03T20:26:00+08:00";20569
"湖北";"2024-04-03T20:26:15+08:00";20554
"湖北";"2024-04-03T20:26:30+08:00";20554
"湖北";"2024-04-03T20:26:45+08:00";20554
"湖北";"2024-04-03T20:27:00+08:00";20554
"湖南";"2024-04-03T20:21:45+08:00";12739
"湖南";"2024-04-03T20:22:00+08:00";12739
"湖南";"2024-04-03T20:22:15+08:00";12770
"湖南";"2024-04-03T20:22:30+08:00";12770
"湖南";"2024-04-03T20:22:45+08:00";12789
"湖南";"2024-04-03T20:23:00+08:00";12789
"湖南";"2024-04-03T20:23:15+08:00";12813
"湖南";"2024-04-03T20:23:30+08:00";12813
"湖南";"2024-04-03T20:23:45+08:00";12818
"湖南";"2024-04-03T20:24:00+08:00";12818
"湖南";"2024-04-03T20:24:15+08:00";12822
"湖南";"2024-04-03T20:24:30+08:00";12822
"湖南";"2024-04-03T20:24:45+08:00";12801
"湖南";"2024-04-03T20:25:00+08:00";12801
