Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-02 12:58:43.602][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=164200335, vt=2/96, sts=3209/422131680/0x274bd0c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 13:22:17.634][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=1578233630, vt=2/96, sts=10679/549417510/0x274bd0c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 13:24:49.941][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14080) ps rtp packet 1404B, age=1730524930, vt=2/96, sts=18521/563103990/0x274bd0c, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:31:31.873][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14104) ps rtp packet 32B, age=47572283, vt=2/96, sts=64514/98550000/0x27f670f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:32:48.899][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14104) ps rtp packet 1404B, age=124589220, vt=2/96, sts=822/105483600/0x27f670f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:39:50.000][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14096) ps rtp packet 321B, age=545697727, vt=2/96, sts=25377/143737201/0x27f670f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:43:37.176][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14096) ps rtp packet 1404B, age=772868628, vt=2/96, sts=57797/163821600/0x27f670f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:45:21.451][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14104) ps rtp packet 1404B, age=877147102, vt=2/96, sts=3972/173502000/0x27f670f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 17:58:10.769][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14112) ps rtp packet 1404B, age=951491341, vt=2/96, sts=47944/61966800/0x283c503, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:01:33.637][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14112) ps rtp packet 1404B, age=1154367139, vt=2/96, sts=61128/80244000/0x283c503, muxer (nil) lost_rate:00% req_id:
