Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-02 17:57:43.332][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=778559069, vt=2/96, sts=55472/135122400/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:07:13.613][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=1348837883, vt=2/96, sts=46405/186426000/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:07:45.303][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=1380520629, vt=2/96, sts=49143/189100800/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:16:31.762][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 321B, age=1906990732, vt=2/96, sts=25138/236440801/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:24:07.437][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 321B, age=-1932314180, vt=2/96, sts=62541/277394401/0x284010e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:52:32.392][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 321B, age=-1617288477, vt=2/96, sts=12627/29944801/0x283e007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:52:57.197][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 863B, age=-1592476688, vt=2/96, sts=13636/32191200/0x283e007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:55:48.216][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 1363B, age=-1421461362, vt=2/96, sts=20510/47563200/0x283e007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 21:01:40.207][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14332) ps rtp packet 321B, age=-1069471922, vt=2/96, sts=30509/79246801/0x283e007, muxer (nil) lost_rate:00% req_id:
[2023-11-06 15:09:17.954][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 1404B, age=1265732646, vt=2/96, sts=0/0/0x283e005, muxer (nil) lost_rate:00% req_id:
