Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-01 11:15:14.519][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=1738445565, vt=2/96, sts=27555/560649407/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:15:54.851][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=1778774903, vt=2/96, sts=29756/564700306/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:47:02.287][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=-648754448, vt=2/96, sts=55353/732290581/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:53:42.622][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 991B, age=-248424861, vt=2/96, sts=9154/768395416/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 11:55:57.462][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=-113586960, vt=2/96, sts=16080/780713627/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:07:40.784][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=589736310, vt=2/96, sts=52966/844375036/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:21:51.862][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=1440822136, vt=2/96, sts=34077/921118146/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:28:18.721][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=1827682244, vt=2/96, sts=54876/955681816/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:30:08.925][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=1937883838, vt=2/96, sts=60978/965828778/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:36:58.868][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=-1947149058, vt=2/96, sts=17506/1002653718/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:49:28.271][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 321B, age=-1197744208, vt=2/96, sts=58386/1070124827/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 13:00:52.501][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=-513505426, vt=2/96, sts=28309/1131445786/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 13:06:20.577][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14140) ps rtp packet 1404B, age=-185432544, vt=2/96, sts=44821/1161270886/0x283e40e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 15:01:37.182][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14000) ps rtp packet 1404B, age=-1358115353, vt=2/96, sts=14446/37683900/0x274de04, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:22:13.095][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14024) ps rtp packet 481B, age=-817169966, vt=2/96, sts=31593/37390320/0x283e402, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:32:19.206][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14024) ps rtp packet 321B, age=-211049868, vt=2/96, sts=58979/91945442/0x283e402, muxer (nil) lost_rate:00% req_id:
[2023-11-02 16:49:59.575][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 1404B, age=849318972, vt=2/96, sts=43999/36061200/0x283870e, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:24:13.688][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 841B, age=1513486823, vt=2/96, sts=64964/116744400/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:31:16.646][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 1404B, age=1936456522, vt=2/96, sts=19172/154893600/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:38:05.998][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 321B, age=-1949162848, vt=2/96, sts=37522/191656837/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 19:44:30.033][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 321B, age=-1565130084, vt=2/96, sts=53772/226267206/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:03:11.145][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 886B, age=-444025466, vt=2/96, sts=40933/327121200/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:20:20.460][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 321B, age=585297597, vt=2/96, sts=20402/419767203/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:33:37.689][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 927B, age=1382522381, vt=2/96, sts=58295/491515200/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 20:45:43.923][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 1016B, age=2108765567, vt=2/96, sts=27806/556869600/0x283e00d, muxer (nil) lost_rate:00% req_id:
[2023-11-02 22:03:10.933][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 321B, age=-1834168228, vt=2/96, sts=2807/4842011/0x283e00f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:29:29.061][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 1404B, age=-1645965002, vt=2/96, sts=18088/152929620/0x283e10c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:30:38.402][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 1404B, age=-1576631849, vt=2/96, sts=24231/159147810/0x283e10c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:47:21.748][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 1404B, age=-573277736, vt=2/96, sts=44875/249272100/0x283e10c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 00:48:09.639][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 1404B, age=-525404978, vt=2/96, sts=49193/253663740/0x283e10c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 01:03:11.646][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14036) ps rtp packet 1404B, age=376614302, vt=2/96, sts=56365/334576080/0x283e10c, muxer (nil) lost_rate:00% req_id:
[2023-11-03 10:51:32.397][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1317631862, vt=2/96, sts=40293/29509200/0x283a207, muxer (nil) lost_rate:00% req_id:
[2023-11-03 15:26:15.865][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=621231466, vt=2/96, sts=0/0/0x2f00304, muxer (nil) lost_rate:00% req_id:
[2023-11-03 15:32:52.032][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=1017397707, vt=2/96, sts=37442/35388000/0x2f00304, muxer (nil) lost_rate:00% req_id:
[2023-11-03 15:40:54.239][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14060) ps rtp packet 1404B, age=1499604045, vt=2/96, sts=1687/78699600/0x2f00304, muxer (nil) lost_rate:00% req_id:
[2023-11-03 15:45:32.269][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14120) ps rtp packet 321B, age=1777628553, vt=2/96, sts=5495/60116412/0x283a209, muxer (nil) lost_rate:00% req_id:
[2023-11-06 11:59:56.643][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 1404B, age=-1666108819, vt=2/96, sts=0/0/0x283a20b, muxer (nil) lost_rate:00% req_id:
