Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-29 06:11:36.186][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14424) ps rtp packet 321B, age=-434966514, vt=2/96, sts=55448/4200317989/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 06:23:38.056][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14424) ps rtp packet 1404B, age=286905276, vt=2/96, sts=44238/4265297986/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 06:30:04.944][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 1404B, age=673786120, vt=2/96, sts=55848/5117490/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 08:00:43.856][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 1404B, age=1817730010, vt=2/96, sts=16447/494638290/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 08:07:44.773][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-2056321607, vt=2/96, sts=15689/770481180/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 09:09:19.701][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 321B, age=1638608588, vt=2/96, sts=12327/865035101/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 09:22:57.265][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 1404B, age=-1838786249, vt=2/96, sts=6499/938572290/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 09:36:22.928][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 1404B, age=-1033125635, vt=2/96, sts=64607/1011141090/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 10:13:44.226][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14424) ps rtp packet 1404B, age=1208169780, vt=2/96, sts=27957/1212795090/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 10:31:27.633][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 1404B, age=-2023402757, vt=2/96, sts=10711/1308483090/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 10:33:24.902][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 609B, age=-1906114656, vt=2/96, sts=13967/1557066780/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 10:35:21.749][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=-1789269614, vt=2/96, sts=21122/1567575180/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:01:07.711][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 1404B, age=-243308956, vt=2/96, sts=18722/1468708290/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:02:53.516][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14424) ps rtp packet 1404B, age=-137503724, vt=2/96, sts=34362/1478280690/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:16:59.788][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14512) ps rtp packet 321B, age=708766977, vt=2/96, sts=27344/1554427893/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:53:23.200][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14480) ps rtp packet 1404B, age=-1402798052, vt=2/96, sts=13872/1750905436/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:56:02.491][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14364) ps rtp packet 1404B, age=-1243492538, vt=2/96, sts=26351/1764948676/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 11:58:22.500][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=-1103489779, vt=2/96, sts=45660/2015227966/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:21:22.650][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=276661542, vt=2/96, sts=368/2084729836/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:01:03.727][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=-1637237938, vt=2/96, sts=26194/2353678366/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:14:14.582][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=-846387593, vt=2/96, sts=30380/2370180766/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 13:17:04.682][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=-676280095, vt=2/96, sts=36508/2385487966/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 14:44:07.403][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=251482510, vt=2/96, sts=7188/2910889966/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 14:47:39.342][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 321B, age=463413353, vt=2/96, sts=32002/94028041/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 14:49:18.762][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 321B, age=562836397, vt=2/96, sts=53837/102974041/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 15:01:05.370][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14136) ps rtp packet 1404B, age=1269451250, vt=2/96, sts=30172/3002506366/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-10-29 15:27:35.161][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 1404B, age=-1435740409, vt=2/96, sts=34094/309646440/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 16:31:31.388][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 1404B, age=-1894472473, vt=2/96, sts=19705/654893640/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 17:01:12.004][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 321B, age=-113849071, vt=2/96, sts=15993/815144041/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-10-29 17:22:49.632][Trace][40111][6idd0u64] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 321B, age=1183777644, vt=2/96, sts=40313/931928041/0x2706408, muxer (nil) lost_rate:00% req_id:
