Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-29 16:42:31.866][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 1404B, age=-1243914682, vt=2/96, sts=31834/714337200/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 16:44:16.602][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14360) ps rtp packet 1404B, age=-1139180958, vt=2/96, sts=55055/723761640/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 17:01:12.110][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14072) ps rtp packet 1404B, age=-123668675, vt=2/96, sts=16004/815151240/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 17:34:58.223][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 1404B, age=1902442682, vt=2/96, sts=5392/997502040/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 17:46:37.657][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14360) ps rtp packet 1404B, age=-1693093703, vt=2/96, sts=29562/1060448040/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 18:38:55.243][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14316) ps rtp packet 321B, age=1444497001, vt=2/96, sts=4926/1342817641/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 18:54:02.218][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14360) ps rtp packet 1404B, age=-1943495581, vt=2/96, sts=9779/1424447640/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 18:57:49.620][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 1404B, age=-1716099972, vt=2/96, sts=58960/1444913640/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 19:17:08.184][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14316) ps rtp packet 289B, age=-557529542, vt=2/96, sts=53775/1549180800/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 20:43:09.168][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14072) ps rtp packet 1404B, age=308486880, vt=2/96, sts=20684/2013656040/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-29 22:24:19.550][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=2083899685, vt=2/96, sts=52315/142311600/0x2838505, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:05:45.221][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14024) ps rtp packet 452B, age=-2073760052, vt=2/96, sts=21806/212562000/0x2747e0e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:08:55.533][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14056) ps rtp packet 1404B, age=-1883448341, vt=2/96, sts=26850/230105070/0x2747e0e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 10:32:18.375][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14092) ps rtp packet 1404B, age=-480615579, vt=2/96, sts=5039/355906800/0x2747e0e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:08:18.264][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14348) ps rtp packet 1404B, age=984314876, vt=2/96, sts=11271/874364400/0x2747e0e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:36:51.292][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14260) ps rtp packet 1404B, age=-1597633502, vt=2/96, sts=50758/1028494800/0x2747e0e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 12:55:43.753][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 178B, age=-465168251, vt=2/96, sts=7762/1130414400/0x2747e0e, muxer (nil) lost_rate:00% req_id:
[2023-11-01 20:19:22.526][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=383806239, vt=2/96, sts=52796/59796000/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-01 22:06:38.706][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1227B, age=-1769949533, vt=2/96, sts=15683/639018000/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 00:17:39.851][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 294B, age=1796230377, vt=2/96, sts=42307/1346536800/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 00:45:53.045][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=-805543795, vt=2/96, sts=38959/1498924800/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 00:52:18.885][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=-419709903, vt=2/96, sts=1523/1533654000/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 01:52:59.081][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=-1074478333, vt=2/96, sts=49638/1861254000/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 02:13:50.642][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=177086268, vt=2/96, sts=57836/1973890800/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 05:45:46.855][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=8398179, vt=2/96, sts=31721/3118258800/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 07:47:57.170][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1342B, age=-1251221510, vt=2/96, sts=4538/3777980386/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 09:52:53.919][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=1950560229, vt=2/96, sts=4578/157725090/0x2747e0f, muxer (nil) lost_rate:00% req_id:
[2023-11-02 12:12:41.481][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=1748186733, vt=2/96, sts=37916/18997200/0x270640f, muxer (nil) lost_rate:00% req_id:
[2023-11-03 01:01:12.388][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=614452041, vt=2/96, sts=25257/697526640/0x2ff460b, muxer (nil) lost_rate:00% req_id:
[2023-11-03 06:56:37.298][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=464521046, vt=2/96, sts=2331/1299600/0x283a90b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 12:06:20.343][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14072) ps rtp packet 1142B, age=-424647863, vt=2/96, sts=23788/41216400/0x2747e0d, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:22:34.339][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 1404B, age=1369479347, vt=2/96, sts=19255/124668000/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:55:22.188][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 1404B, age=-957638678, vt=2/96, sts=63617/301788270/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:14:41.158][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14128) ps rtp packet 1404B, age=201330075, vt=2/96, sts=12682/405784800/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:16:51.897][Trace][27651][16x26k74] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 321B, age=332060482, vt=2/96, sts=17748/417538801/0x270640b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:13:02.337][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 321B, age=1098881667, vt=2/96, sts=11811/570963606/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:19:54.474][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 321B, age=1511022654, vt=2/96, sts=61610/78692401/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:22:42.800][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 321B, age=1679355926, vt=2/96, sts=7662/623242789/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:26:46.312][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 321B, age=1922866268, vt=2/96, sts=19882/115714818/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:42:14.992][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1101B, age=-1443419730, vt=2/96, sts=24473/199339200/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:46:51.746][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-1166672355, vt=2/96, sts=61739/753659986/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:27:44.288][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 321B, age=1285876514, vt=2/96, sts=23195/444970801/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:33:24.287][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=1625860521, vt=2/96, sts=34620/475574400/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:08:41.499][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 321B, age=-551890586, vt=2/96, sts=22436/1195527588/0x27f690f, muxer (nil) lost_rate:00% req_id:
