Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-27 23:42:35.847][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1313200215, vt=2/96, sts=32161/1106854470/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:49:40.630][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1737986069, vt=2/96, sts=57842/1145136420/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:50:40.634][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1797981225, vt=2/96, sts=14474/1150536780/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:51:10.635][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1827992136, vt=2/96, sts=25530/1153235160/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:53:10.630][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1947986948, vt=2/96, sts=4572/1164035970/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:57:40.689][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-2076925822, vt=2/96, sts=37041/1188335970/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:03:04.248][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1753370052, vt=2/96, sts=25484/1217459970/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:09:41.231][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1356378318, vt=2/96, sts=41130/1253183940/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:12:03.134][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1214482631, vt=2/96, sts=26284/1265958990/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:15:54.551][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-983066933, vt=2/96, sts=46550/1286786070/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:16:25.094][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-952516409, vt=2/96, sts=57842/1289534850/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:16:53.250][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-924378490, vt=2/96, sts=2711/1292067540/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:29:39.552][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-158059722, vt=2/96, sts=24924/1361033370/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:34:29.331][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=131712242, vt=2/96, sts=391/1387116720/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:34:59.347][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=161727274, vt=2/96, sts=11522/1389815100/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:35:29.347][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=191730866, vt=2/96, sts=22666/1392517080/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:35:59.347][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=221729759, vt=2/96, sts=33775/1395215460/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:43:29.405][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=671792122, vt=2/96, sts=4116/1435720320/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:51:53.456][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1175832975, vt=2/96, sts=59965/1481085090/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:11:07.909][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1964673112, vt=2/96, sts=27761/1584982350/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:14:50.808][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1741769520, vt=2/96, sts=45023/1605045600/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:23:50.867][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1201714160, vt=2/96, sts=46025/1653649200/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:29:05.822][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-886756825, vt=2/96, sts=31817/1681991370/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:32:03.782][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-708798027, vt=2/96, sts=32411/1698008850/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:33:58.337][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-594239945, vt=2/96, sts=9397/1708319700/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:34:25.233][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-567361409, vt=2/96, sts=19366/1710740610/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:34:55.257][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-537323300, vt=2/96, sts=30521/1713442680/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:40:21.044][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-211545022, vt=2/96, sts=20123/1742764770/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:50:50.675][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=418090578, vt=2/96, sts=55521/1799427510/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:54:09.590][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=617006854, vt=2/96, sts=63810/1817329140/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:00:39.601][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1007020914, vt=2/96, sts=11194/1852429950/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:05:24.625][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1292044551, vt=2/96, sts=51380/1878084540/0x27f8c08, muxer (nil) lost_rate:00% req_id:
