Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 00:27:42.132][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-311531885, vt=2/96, sts=46937/1350470340/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:32:21.807][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-31865908, vt=2/96, sts=19636/1375638570/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:33:32.247][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=38581773, vt=2/96, sts=45295/1381975740/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:38:28.646][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=334971572, vt=2/96, sts=23676/1408653450/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:40:02.942][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=429266142, vt=2/96, sts=58605/1417141350/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:40:26.518][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=452850863, vt=2/96, sts=1851/1419263280/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:41:13.661][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=499995665, vt=2/96, sts=19344/1423507230/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:43:35.109][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=641431147, vt=2/96, sts=6256/1436235480/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:44:45.821][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=712153034, vt=2/96, sts=32370/1442594160/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:47:07.276][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=853593409, vt=2/96, sts=19391/1455329610/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:49:03.568][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=969890074, vt=2/96, sts=62445/1465795350/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:52:10.511][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1156844046, vt=2/96, sts=815/1482619770/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:54:31.135][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1297470780, vt=2/96, sts=52899/1495275930/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:56:46.127][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1432450465, vt=2/96, sts=36568/1507427730/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:59:50.486][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1616815735, vt=2/96, sts=38585/1524018060/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:03:46.213][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1852543941, vt=2/96, sts=60412/1545234120/0x27f8c04, muxer (nil) lost_rate:00% req_id:
