Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-06 22:56:07.625][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-600761035, vt=2/96, sts=40086/1582138786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:10:41.751][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=273365644, vt=2/96, sts=14088/1660715986/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-06 23:22:13.769][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=965382444, vt=2/96, sts=7705/1722567586/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-06 23:27:11.544][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1263145878, vt=2/96, sts=24021/1750294786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:33:47.440][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1659055281, vt=2/96, sts=2365/1786359856/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:35:21.950][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1753562756, vt=2/96, sts=28051/1794132256/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:36:20.094][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1811692382, vt=2/96, sts=43848/1799675986/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-06 23:37:17.650][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1869261884, vt=2/96, sts=59063/1805201986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-06 23:59:14.132][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1109219785, vt=2/96, sts=29707/1924048786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:00:12.134][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-1051234625, vt=2/96, sts=45890/1927511993/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:25:22.837][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=459473627, vt=2/96, sts=3958/2064182393/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:26:19.445][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=516090780, vt=2/96, sts=19648/2069621986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:36:37.137][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1133785058, vt=2/96, sts=59319/2124647986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:38:14.444][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1231086559, vt=2/96, sts=20284/2134450786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 00:43:20.299][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1536945819, vt=2/96, sts=39621/2160831586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:16:18.006][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-780314944, vt=2/96, sts=55271/2338905856/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:39:15.790][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=597469560, vt=2/96, sts=40192/2463976786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:52:48.032][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1409712524, vt=2/96, sts=513/2536682386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 01:55:42.071][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=1583750356, vt=2/96, sts=46749/2550927673/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 02:04:46.842][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=2128520350, vt=2/96, sts=64576/2601647986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 02:07:43.305][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1989995688, vt=2/96, sts=48184/2616299986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 02:19:22.540][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1290748840, vt=2/96, sts=44818/2680289986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 02:41:01.056][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=7768466, vt=2/96, sts=8122/2796796786/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-07 02:55:52.313][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=899023792, vt=2/96, sts=54447/2877011986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 03:40:06.698][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-741566149, vt=2/96, sts=59607/3115990786/0x278a107, muxer (nil) lost_rate:00% req_id:
