Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-07 02:18:20.814][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1364457299, vt=2/96, sts=27586/2674533586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 02:51:03.724][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=598451716, vt=2/96, sts=40992/2851394386/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-07 03:04:19.114][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1393837014, vt=2/96, sts=58727/2923473609/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 03:20:56.936][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-1903315904, vt=2/96, sts=5233/3012785987/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 03:32:07.258][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1232993290, vt=2/96, sts=57949/3073111186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 03:37:54.673][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-885564755, vt=2/96, sts=23510/3104020786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 03:56:53.334][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=253095660, vt=2/96, sts=7212/3206703586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 03:57:15.150][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=274911791, vt=2/96, sts=13197/3208017586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:01:43.157][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=542918160, vt=2/96, sts=19311/3232313986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:27:49.625][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=2109384727, vt=2/96, sts=54824/3372789586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:31:24.396][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1970809767, vt=2/96, sts=48635/3393687856/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:34:49.700][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 205B, age=-1765509993, vt=2/96, sts=39670/3411964786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:38:32.954][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-1542251878, vt=2/96, sts=34883/3431239205/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:55:19.792][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-535415669, vt=2/96, sts=49663/3521905186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:56:24.601][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14008) ps rtp packet 321B, age=-470611675, vt=2/96, sts=2829/1281601/0x283a80f, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:11:22.982][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=427771909, vt=2/96, sts=50122/3608038797/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:13:08.726][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=533519988, vt=2/96, sts=14139/3618342259/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:16:45.247][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=750039908, vt=2/96, sts=7247/3637432797/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:17:27.940][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=792731003, vt=2/96, sts=18460/3642022797/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:20:35.700][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=980493413, vt=2/96, sts=4407/3659396386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:21:40.893][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1045686233, vt=2/96, sts=22666/3663306023/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:31:38.362][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1643150099, vt=2/96, sts=54647/3718976399/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:33:12.270][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1737064129, vt=2/96, sts=15360/3726565186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:33:33.286][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1758080843, vt=2/96, sts=21161/3727821586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:44:08.533][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1901639609, vt=2/96, sts=65251/3786037186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:51:20.156][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1470018735, vt=2/96, sts=54129/3823985056/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:53:06.291][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1363881540, vt=2/96, sts=18269/3834302386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:02:59.202][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-770984914, vt=2/96, sts=50401/3886505986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:05:34.202][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-615982265, vt=2/96, sts=28042/3901942789/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:07:02.045][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-528139918, vt=2/96, sts=52592/3909175186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:11:27.417][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-262759068, vt=2/96, sts=60614/3933172786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:12:30.121][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-200053918, vt=2/96, sts=11916/3939001186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:18:27.040][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=156865589, vt=2/96, sts=44472/3970252786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:30:00.630][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=850444701, vt=2/96, sts=38540/4033389586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:39:00.297][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1390124282, vt=2/96, sts=56739/4081654786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:40:48.725][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1498549222, vt=2/96, sts=21072/4092112787/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:49:42.347][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=2032168428, vt=2/96, sts=36376/4140064786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:52:47.467][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=-2077673242, vt=2/96, sts=21056/4157164787/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:00:20.790][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1624352962, vt=2/96, sts=13418/4196710786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:10:15.340][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-1029800842, vt=2/96, sts=58485/4251387586/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:21:35.555][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-349587948, vt=2/96, sts=64627/17274690/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:24:16.103][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=-189039976, vt=2/96, sts=46998/31714290/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:47:45.855][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 321B, age=1220715234, vt=2/96, sts=12187/158632568/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:56:37.485][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1752340899, vt=2/96, sts=41554/205777890/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 07:59:26.368][Trace][43060][vzu2te15] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14012) ps rtp packet 1404B, age=1921226894, vt=2/96, sts=25211/220998960/0x278a107, muxer (nil) lost_rate:00% req_id:
