Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-01 13:13:21.891][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=405836638, vt=2/96, sts=42672/29026800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-11-01 13:22:59.349][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 321B, age=983284872, vt=2/96, sts=51401/80964020/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-11-01 13:25:58.437][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14736) ps rtp packet 1404B, age=1162368782, vt=2/96, sts=43555/84391200/0x2747e0a, muxer (nil) lost_rate:00% req_id:
[2023-11-01 13:29:37.191][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14528) ps rtp packet 565B, age=1381126751, vt=2/96, sts=53553/104072400/0x2747e0a, muxer (nil) lost_rate:00% req_id:
[2023-11-02 15:39:47.113][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14232) ps rtp packet 1404B, age=1101777790, vt=2/96, sts=0/0/0x2836905, muxer (nil) lost_rate:00% req_id:
[2023-11-02 15:52:16.821][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14232) ps rtp packet 1404B, age=1851478429, vt=2/96, sts=36410/67518000/0x2836905, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:05:31.915][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 1404B, age=-1967877527, vt=2/96, sts=5547/44813610/0x2ff460a, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:09:39.074][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 1404B, age=-1720711980, vt=2/96, sts=16166/67063680/0x2ff460a, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:10:54.890][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 1404B, age=-1644889453, vt=2/96, sts=38728/73883520/0x2ff460a, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:12:25.594][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14192) ps rtp packet 1404B, age=-1554186277, vt=2/96, sts=649/82050750/0x2ff460a, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:20:45.333][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14164) ps rtp packet 1404B, age=-1054455352, vt=2/96, sts=22671/127037250/0x2ff460a, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:54:15.961][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=956181792, vt=2/96, sts=0/0/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-11-03 11:56:11.788][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14188) ps rtp packet 1404B, age=1072008347, vt=2/96, sts=4543/10378530/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-11-03 14:07:26.941][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=357227719, vt=2/96, sts=0/0/0x2ff4606, muxer (nil) lost_rate:00% req_id:
[2023-11-03 14:56:47.098][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14076) ps rtp packet 1404B, age=-977596219, vt=2/96, sts=0/0/0x283a706, muxer (nil) lost_rate:00% req_id:
[2023-11-03 18:20:51.644][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1617943817, vt=2/96, sts=30614/44870400/0x283690f, muxer (nil) lost_rate:00% req_id:
[2023-11-06 15:25:17.293][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 1404B, age=-2060393112, vt=2/96, sts=0/0/0x2706408, muxer (nil) lost_rate:00% req_id:
[2023-11-06 16:06:19.328][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14000) ps rtp packet 1404B, age=401640433, vt=2/96, sts=0/0/0x2838a0f, muxer (nil) lost_rate:00% req_id:
[2023-11-07 14:17:36.033][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=-1326040602, vt=2/96, sts=33556/34095600/0x283a90b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 14:19:20.091][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=-1221990211, vt=2/96, sts=40813/43466400/0x283a90b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 14:21:27.029][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 321B, age=-1095035282, vt=2/96, sts=50023/54914401/0x283a90b, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-07 14:23:58.361][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=-943704444, vt=2/96, sts=60643/68655600/0x283a90b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 14:27:52.081][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=-709984282, vt=2/96, sts=11708/89571600/0x283a90b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 14:39:00.176][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=-41891372, vt=2/96, sts=60242/149666400/0x283a90b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 16:59:29.668][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=-202332169, vt=2/96, sts=0/0/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:03:15.409][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=23408517, vt=2/96, sts=37639/20372420/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:03:57.770][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=65771525, vt=2/96, sts=45838/24184800/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:17:48.404][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=896391288, vt=2/96, sts=55833/98694000/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:19:31.880][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=999880582, vt=2/96, sts=67/108118800/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:20:55.223][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=1083223923, vt=2/96, sts=8743/115747471/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:23:19.435][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=1227428193, vt=2/96, sts=23967/128606400/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:24:20.051][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=1288047950, vt=2/96, sts=30274/134150401/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:38:27.657][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=2135655408, vt=2/96, sts=45639/210204000/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:38:49.229][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=-2137737956, vt=2/96, sts=47437/212144670/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:41:36.325][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=-1970644208, vt=2/96, sts=59594/227167470/0x2706406, muxer (nil) lost_rate:00% req_id:
