Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-07 17:56:27.371][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=-1265838755, vt=2/96, sts=29808/307742432/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:56:54.391][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=-1238813428, vt=2/96, sts=33200/309510000/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:02:24.052][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=-909155423, vt=2/96, sts=50438/338238085/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:05:44.302][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 321B, age=-708902161, vt=2/96, sts=53160/357642001/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:06:35.160][Trace][14859][1635t0c1] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14132) ps rtp packet 321B, age=-658043883, vt=2/96, sts=53864/359049991/0x278a10b, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:08:53.543][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=476813871, vt=2/96, sts=34503/277045201/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:11:20.311][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=623585764, vt=2/96, sts=552/290257200/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:15:10.807][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=854084456, vt=2/96, sts=49408/310996800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:16:48.975][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=952251219, vt=2/96, sts=4503/319834800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:29:53.643][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=1736914304, vt=2/96, sts=65189/132782400/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:32:48.667][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=1911943775, vt=2/96, sts=15286/148478400/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:37:52.275][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-2079418127, vt=2/96, sts=7432/433526402/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:38:42.607][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-2029087212, vt=2/96, sts=16647/438044405/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:41:37.403][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-1854291243, vt=2/96, sts=55321/453787471/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:44:24.767][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=-1686926827, vt=2/96, sts=13282/211179600/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:45:37.659][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=-1614030251, vt=2/96, sts=19952/217674000/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:46:25.087][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=-1566601362, vt=2/96, sts=24333/222008400/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:47:14.727][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-1516969678, vt=2/96, sts=64773/484142673/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:58:33.971][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-837721982, vt=2/96, sts=64733/545274000/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:11:08.303][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-83400988, vt=2/96, sts=26848/613159471/0x2706409, muxer (nil) lost_rate:00% req_id:
